x, y, t, p, sqrt(u^2+v^2), u, v
1.7798, 0.41, 10, 0.794415, 0, 0, 0
1.7578, 0.41, 10, 0.806843, 0, 0, 0
1.738, 0.41, 10, 0.818097, 0, 0, 0
1.7182, 0.41, 10, 0.833708, 0, 0, 0
1.6984, 0.41, 10, 0.857803, 0, 0, 0
1.6786, 0.41, 10, 0.893635, 0, 0, 0
1.6588, 0.41, 10, 0.942788, 0, 0, 0
1.639, 0.41, 10, 1.00474, 0, 0, 0
1.6192, 0.41, 10, 1.07702, 0, 0, 0
1.5994, 0.41, 10, 1.15597, 0, 0, 0
1.5796, 0.41, 10, 1.23773, 0, 0, 0
1.5598, 0.41, 10, 1.3193, 0, 0, 0
1.5378, 0.41, 10, 1.40637, 0, 0, 0
1.518, 0.41, 10, 1.48152, 0, 0, 0
1.4982, 0.41, 10, 1.5529, 0, 0, 0
1.4784, 0.41, 10, 1.62016, 0, 0, 0
1.4586, 0.41, 10, 1.6827, 0, 0, 0
1.4388, 0.41, 10, 1.73931, 0, 0, 0
1.419, 0.41, 10, 1.78847, 0, 0, 0
1.3992, 0.41, 10, 1.82869, 0, 0, 0
1.3794, 0.41, 10, 1.85914, 0, 0, 0
1.3596, 0.41, 10, 1.88037, 0, 0, 0
1.3398, 0.41, 10, 1.89523, 0, 0, 0
1.3178, 0.41, 10, 1.91062, 0, 0, 0
1.298, 0.41, 10, 1.93042, 0, 0, 0
1.2782, 0.41, 10, 1.96274, 0, 0, 0
1.2584, 0.41, 10, 2.01206, 0, 0, 0
1.2386, 0.41, 10, 2.07913, 0, 0, 0
1.2188, 0.41, 10, 2.16111, 0, 0, 0
1.199, 0.41, 10, 2.25288, 0, 0, 0
1.1792, 0.41, 10, 2.34889, 0, 0, 0
1.1594, 0.41, 10, 2.4446, 0, 0, 0
1.1396, 0.41, 10, 2.53715, 0, 0, 0
1.1198, 0.41, 10, 2.62542, 0, 0, 0
1.0978, 0.41, 10, 2.71712, 0, 0, 0
1.078, 0.41, 10, 2.79528, 0, 0, 0
1.0582, 0.41, 10, 2.86892, 0, 0, 0
1.0384, 0.41, 10, 2.93734, 0, 0, 0
1.0186, 0.41, 10, 2.99928, 0, 0, 0
0.9988, 0.41, 10, 3.05321, 0, 0, 0
0.979, 0.41, 10, 3.09809, 0, 0, 0
0.9592, 0.41, 10, 3.134, 0, 0, 0
0.9394, 0.41, 10, 3.1627, 0, 0, 0
0.9196, 0.41, 10, 3.18783, 0, 0, 0
0.8998, 0.41, 10, 3.21434, 0, 0, 0
0.8778, 0.41, 10, 3.25203, 0, 0, 0
0.858, 0.41, 10, 3.29637, 0, 0, 0
0.8382, 0.41, 10, 3.35052, 0, 0, 0
0.8184, 0.41, 10, 3.41141, 0, 0, 0
0.7986, 0.41, 10, 3.47387, 0, 0, 0
0.7788, 0.41, 10, 3.53325, 0, 0, 0
0.759, 0.41, 10, 3.58882, 0, 0, 0
0.7392, 0.41, 10, 3.64576, 0, 0, 0
0.7194, 0.41, 10, 3.71279, 0, 0, 0
0.6996, 0.41, 10, 3.7959, 0, 0, 0
0.6798, 0.41, 10, 3.89363, 0, 0, 0
0.6578, 0.41, 10, 4.01144, 0, 0, 0
0.638, 0.41, 10, 4.11765, 0, 0, 0
0.6182, 0.41, 10, 4.2172, 0, 0, 0
0.5984, 0.41, 10, 4.30546, 0, 0, 0
0.5786, 0.41, 10, 4.37963, 0, 0, 0
0.5588, 0.41, 10, 4.43907, 0, 0, 0
0.539, 0.41, 10, 4.48327, 0, 0, 0
0.5192, 0.41, 10, 4.51121, 0, 0, 0
0.4994, 0.41, 10, 4.52455, 0, 0, 0
0.4796, 0.41, 10, 4.52941, 0, 0, 0
0.4598, 0.41, 10, 4.53125, 0, 0, 0
0.4378, 0.41, 10, 4.53263, 0, 0, 0
0.418, 0.41, 10, 4.53643, 0, 0, 0
0.3982, 0.41, 10, 4.54697, 0, 0, 0
0.3784, 0.41, 10, 4.56461, 0, 0, 0
0.3586, 0.41, 10, 4.59114, 0, 0, 0
0.3388, 0.41, 10, 4.62796, 0, 0, 0
0.319, 0.41, 10, 4.67468, 0, 0, 0
0.2992, 0.41, 10, 4.73355, 0, 0, 0
0.2794, 0.41, 10, 4.802, 0, 0, 0
0.2596, 0.41, 10, 4.88429, 0, 0, 0
0.2398, 0.41, 10, 4.97836, 0, 0, 0
0.2178, 0.41, 10, 5.07798, 0, 0, 0
0.198, 0.41, 10, 5.18113, 0, 0, 0
0.1782, 0.41, 10, 5.26321, 0, 0, 0
0.1584, 0.41, 10, 5.3535, 0, 0, 0
0.1386, 0.41, 10, 5.4172, 0, 0, 0
0.1188, 0.41, 10, 5.48048, 0, 0, 0
0.099, 0.41, 10, 5.51996, 0, 0, 0
0.0792, 0.41, 10, 5.55285, 0, 0, 0
0.0594, 0.41, 10, 5.5736, 0, 0, 0
0.0396, 0.41, 10, 5.58469, 0, 0, 0
0.0198, 0.41, 10, 5.59129, 0, 0, 0
0.219134, 0.153806, 10, 4.30356, 0, 0, 0
0.235355, 0.164645, 10, 4.5265, 0, 0, 0
0.246194, 0.180866, 10, 4.50993, 0, 0, 0
0.246194, 0.219134, 10, 4.26156, 0, 0, 0
0.235355, 0.235355, 10, 4.16843, 0, 0, 0
0.219134, 0.246194, 10, 3.87011, 0, 0, 0
0.180866, 0.246194, 10, 4.04366, 0, 0, 0
0.164645, 0.235355, 10, 5.2578, 0, 0, 0
0.153806, 0.219134, 10, 6.60769, 0, 0, 0
0.153806, 0.180866, 10, 6.7275, 0, 0, 0
0.164645, 0.164645, 10, 5.49162, 0, 0, 0
0.180866, 0.153806, 10, 4.3551, 0, 0, 0
0.034267, 0.016664, 10, 5.70009, 0.248101, 0.247983, -0.00765191
0.052131, 0.017965, 10, 5.69091, 0.285469, 0.285268, -0.0107323
0.071765, 0.017624, 10, 5.67822, 0.319917, 0.319363, -0.0188249
0.091593, 0.017364, 10, 5.6529, 0.356471, 0.355984, -0.018633
0.111425, 0.017378, 10, 5.62455, 0.420838, 0.419935, -0.0275573
0.131231, 0.017513, 10, 5.58096, 0.496696, 0.495625, -0.0325979
0.151131, 0.017657, 10, 5.5253, 0.573181, 0.57255, -0.0268889
0.171052, 0.017676, 10, 5.46017, 0.665853, 0.664649, -0.0400311
0.191056, 0.017517, 10, 5.38006, 0.731868, 0.731514, -0.0227608
0.211421, 0.017182, 10, 5.29772, 0.800958, 0.800455, -0.0283838
0.231793, 0.017181, 10, 5.2085, 0.844953, 0.84491, -0.00848641
0.251783, 0.017267, 10, 5.12473, 0.888086, 0.888056, -0.00734252
0.271637, 0.017391, 10, 5.04338, 0.907468, 0.907468, 0.000843107
0.291455, 0.017469, 10, 4.96842, 0.906839, 0.906788, 0.00964447
0.311284, 0.017481, 10, 4.89976, 0.889736, 0.889642, 0.0129047
0.331127, 0.017455, 10, 4.83498, 0.852137, 0.851888, 0.0206194
0.350991, 0.01745, 10, 4.77206, 0.800356, 0.799988, 0.0242752
0.370891, 0.01741, 10, 4.71112, 0.734567, 0.734035, 0.027955
0.390845, 0.017372, 10, 4.64861, 0.656974, 0.656279, 0.0302053
0.4109, 0.017327, 10, 4.58374, 0.573206, 0.572392, 0.0305305
0.431317, 0.017193, 10, 4.51486, 0.48261, 0.481779, 0.0283016
0.451692, 0.017298, 10, 4.44196, 0.401599, 0.400607, 0.0282183
0.471716, 0.017319, 10, 4.36562, 0.323593, 0.322445, 0.0272339
0.491616, 0.017325, 10, 4.28813, 0.252279, 0.251029, 0.025078
0.511461, 0.01733, 10, 4.21327, 0.191202, 0.19005, 0.0209488
0.531297, 0.017338, 10, 4.14498, 0.142516, 0.141431, 0.0175553
0.551143, 0.017346, 10, 4.083, 0.102918, 0.10163, 0.016227
0.57101, 0.017354, 10, 4.02961, 0.0741399, 0.0733472, 0.0108126
0.590905, 0.017355, 10, 3.99412, 0.0699177, 0.0698983, -0.00164355
0.610853, 0.017346, 10, 3.97969, 0.098617, 0.097548, -0.0144807
0.630904, 0.017315, 10, 3.9763, 0.147058, 0.145625, -0.0204784
0.651322, 0.01719, 10, 3.97064, 0.198207, 0.197265, -0.0192966
0.671698, 0.017301, 10, 3.95674, 0.246958, 0.246379, -0.0169083
0.691719, 0.017322, 10, 3.93642, 0.285608, 0.285258, -0.0141279
0.711608, 0.017327, 10, 3.91058, 0.317192, 0.316968, -0.0119249
0.731462, 0.017332, 10, 3.87922, 0.342368, 0.342226, -0.00984057
0.7513, 0.017338, 10, 3.84068, 0.360538, 0.360464, -0.00729345
0.771147, 0.017347, 10, 3.79286, 0.370651, 0.370628, -0.00413377
0.791014, 0.017354, 10, 3.73451, 0.372438, 0.372437, -0.000882875
0.810911, 0.017357, 10, 3.6661, 0.367433, 0.367429, 0.0016958
0.830861, 0.017352, 10, 3.58994, 0.358638, 0.358626, 0.00298203
0.850927, 0.017325, 10, 3.50909, 0.348861, 0.348848, 0.00303126
